id;cursusnaam;tekst;datum;locatie
001Ape9-1-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 9, 16, 23 januari in Apeldoorn;9-1-2019;Apeldoorn
001Rot6-2-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 6, 13, 20 februari in Rotterdam;6-2-2019;Rotterdam
001Ape6-3-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 6, 13, 20 maart in Apeldoorn;6-3-2019;Apeldoorn
001Ams5-3-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 5, 12, 19 maart in Amsterdam;5-3-2019;Amsterdam
001Rot10-4-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 10, 17, 24 april in Rotterdam;10-4-2019;Rotterdam
001Ein9-4-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 9, 16, 23 april in Eindhoven;9-4-2019;Eindhoven
001Ape8-5-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 8, 15, 22 mei in Apeldoorn;8-5-2019;Apeldoorn
001Ams7-5-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 7, 14, 21 mei in Amsterdam;7-5-2019;Amsterdam
001Rot5-6-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 5, 12, 19 juni in Rotterdam;5-6-2019;Rotterdam
001Ein4-6-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 4, 11, 18 juni in Eindhoven;4-6-2019;Eindhoven
001Ape3-7-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 3, 10, 17 juli in Apeldoorn;3-7-2019;Apeldoorn
001Rot7-8-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 7, 14, 21 augustus in Rotterdam;7-8-2019;Rotterdam
001Ape4-9-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 4, 11, 18 september in Apeldoorn;4-9-2019;Apeldoorn
001Ams3-9-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 3, 10, 17 september in Amsterdam;3-9-2019;Amsterdam
001Rot9-10-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 9, 16, 23 oktober in Rotterdam;9-10-2019;Rotterdam
001Ein8-10-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 8, 15, 22 oktober in Eindhoven;8-10-2019;Eindhoven
001Ape6-11-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 6, 13, 20 november in Apeldoorn;6-11-2019;Apeldoorn
001Ams5-11-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 5, 12, 19 november in Amsterdam;5-11-2019;Amsterdam
001Rot4-12-2019;AutoCAD 2D Basis - Geo-ICT Certificaat;AutoCAD 2D Basis - Geo-ICT Certificaat: 4, 11, 18 december in Rotterdam;4-12-2019;Rotterdam
002Ape9-1-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 9, 16, 23, 24 januari in Apeldoorn;9-1-2019;Apeldoorn
002Rot6-2-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 6, 13, 20, 21 februari in Rotterdam;6-2-2019;Rotterdam
002Ape6-3-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 6, 13, 20, 21 maart in Apeldoorn;6-3-2019;Apeldoorn
002Ams5-3-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 5, 12, 19, 20 maart in Amsterdam;5-3-2019;Amsterdam
002Rot10-4-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 10, 17, 24, 25 april in Rotterdam;10-4-2019;Rotterdam
002Ein9-4-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 9, 16, 23, 24 april in Eindhoven;9-4-2019;Eindhoven
002Ape8-5-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 8, 15, 22, 23 mei in Apeldoorn;8-5-2019;Apeldoorn
002Ams7-5-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 7, 14, 21, 22 mei in Amsterdam;7-5-2019;Amsterdam
002Rot5-6-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 5, 12, 19, 20 juni in Rotterdam;5-6-2019;Rotterdam
002Ein4-6-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 4, 11, 18, 19 juni in Eindhoven;4-6-2019;Eindhoven
002Ape3-7-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 3, 10, 17, 18 juli in Apeldoorn;3-7-2019;Apeldoorn
002Rot7-8-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 7, 14, 21, 22 augustus in Rotterdam;7-8-2019;Rotterdam
002Ape4-9-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 4, 11, 18, 19 september in Apeldoorn;4-9-2019;Apeldoorn
002Ams3-9-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 3, 10, 17, 18 september in Amsterdam;3-9-2019;Amsterdam
002Rot9-10-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 9, 16, 23, 24 oktober in Rotterdam;9-10-2019;Rotterdam
002Ein8-10-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 8, 15, 22, 23 oktober in Eindhoven;8-10-2019;Eindhoven
002Ape6-11-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 6, 13, 20, 21 november in Apeldoorn;6-11-2019;Apeldoorn
002Ams5-11-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 5, 12, 19, 20 november in Amsterdam;5-11-2019;Amsterdam
002Rot4-12-2019;AutoCAD 2D Basis - AutoDesk Gecertificeerd;AutoCAD 2D Basis - AutoDesk Gecertificeerd: 4, 11, 18, 19 december in Rotterdam;4-12-2019;Rotterdam
004Ape8-1-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 8, 9 januari in Apeldoorn;8-1-2019;Apeldoorn
004Rot5-2-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 5, 6 februari in Rotterdam;5-2-2019;Rotterdam
004Ape5-3-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 5, 6 maart in Apeldoorn;5-3-2019;Apeldoorn
004Ams4-3-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 4, 5 maart in Amsterdam;4-3-2019;Amsterdam
004Rot9-4-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 9, 10 april in Rotterdam;9-4-2019;Rotterdam
004Ein8-4-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 8, 9 april in Eindhoven;8-4-2019;Eindhoven
004Ape14-5-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 14, 15 mei in Apeldoorn;14-5-2019;Apeldoorn
004Ams13-5-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 13, 14 mei in Amsterdam;13-5-2019;Amsterdam
004Rot11-6-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 11, 12 juni in Rotterdam;11-6-2019;Rotterdam
004Ein10-6-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 10, 11 juni in Eindhoven;10-6-2019;Eindhoven
004Ape9-7-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 9, 10 juli in Apeldoorn;9-7-2019;Apeldoorn
004Rot13-8-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 13, 14 augustus in Rotterdam;13-8-2019;Rotterdam
004Ape10-9-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 10, 11 september in Apeldoorn;10-9-2019;Apeldoorn
004Ams9-9-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 9, 10 september in Amsterdam;9-9-2019;Amsterdam
004Rot8-10-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 8, 9 oktober in Rotterdam;8-10-2019;Rotterdam
004Ein7-10-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 7, 8 oktober in Eindhoven;7-10-2019;Eindhoven
004Ape12-11-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 12, 13 november in Apeldoorn;12-11-2019;Apeldoorn
004Ams11-11-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 11, 12 november in Amsterdam;11-11-2019;Amsterdam
004Rot10-12-2019;AutoCAD 2D Snel aan de slag;AutoCAD 2D Snel aan de slag: 10, 11 december in Rotterdam;10-12-2019;Rotterdam
012Ape11-1-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 11, 18, 25 januari in Apeldoorn;11-1-2019;Apeldoorn
012Rot8-2-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 8, 15, 22 februari in Rotterdam;8-2-2019;Rotterdam
012Ape8-3-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 8, 15, 22 maart in Apeldoorn;8-3-2019;Apeldoorn
012Ams7-3-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 7, 14, 21 maart in Amsterdam;7-3-2019;Amsterdam
012Rot12-4-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 12, 19, 26 april in Rotterdam;12-4-2019;Rotterdam
012Ein11-4-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 11, 18, 25 april in Eindhoven;11-4-2019;Eindhoven
012Ape10-5-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 10, 17, 24 mei in Apeldoorn;10-5-2019;Apeldoorn
012Ams9-5-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 9, 16, 23 mei in Amsterdam;9-5-2019;Amsterdam
012Rot7-6-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 7, 14, 21 juni in Rotterdam;7-6-2019;Rotterdam
012Ein6-6-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 6, 13, 20 juni in Eindhoven;6-6-2019;Eindhoven
012Ape5-7-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 5, 12, 19 juli in Apeldoorn;5-7-2019;Apeldoorn
012Rot9-8-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 9, 16, 23 augustus in Rotterdam;9-8-2019;Rotterdam
012Ape6-9-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 6, 13, 20 september in Apeldoorn;6-9-2019;Apeldoorn
012Ams5-9-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 5, 12, 19 september in Amsterdam;5-9-2019;Amsterdam
012Rot11-10-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 11, 18, 25 oktober in Rotterdam;11-10-2019;Rotterdam
012Ein10-10-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 10, 17, 24 oktober in Eindhoven;10-10-2019;Eindhoven
012Ape8-11-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 8, 15, 22 november in Apeldoorn;8-11-2019;Apeldoorn
012Ams7-11-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 7, 14, 21 november in Amsterdam;7-11-2019;Amsterdam
012Rot6-12-2019;AutoCAD MAP 3D Basis;AutoCAD MAP 3D Basis: 6, 13, 20 december in Rotterdam;6-12-2019;Rotterdam
013Ape7-1-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 7, 14 januari in Apeldoorn;7-1-2019;Apeldoorn
013Rot4-2-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 4, 11 februari in Rotterdam;4-2-2019;Rotterdam
013Ape4-3-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 4, 11 maart in Apeldoorn;4-3-2019;Apeldoorn
013Ams5-3-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 5, 12 maart in Amsterdam;5-3-2019;Amsterdam
013Rot8-4-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 8, 15 april in Rotterdam;8-4-2019;Rotterdam
013Ein9-4-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 9, 16 april in Eindhoven;9-4-2019;Eindhoven
013Ape6-5-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 6, 13 mei in Apeldoorn;6-5-2019;Apeldoorn
013Ams7-5-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 7, 14 mei in Amsterdam;7-5-2019;Amsterdam
013Rot3-6-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 3, 10 juni in Rotterdam;3-6-2019;Rotterdam
013Ein4-6-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 4, 11 juni in Eindhoven;4-6-2019;Eindhoven
013Ape1-7-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 1, 8 juli in Apeldoorn;1-7-2019;Apeldoorn
013Rot5-8-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 5, 12 augustus in Rotterdam;5-8-2019;Rotterdam
013Ape2-9-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 2, 9 september in Apeldoorn;2-9-2019;Apeldoorn
013Ams3-9-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 3, 10 september in Amsterdam;3-9-2019;Amsterdam
