id;cursusnaam;tekst;datum
1;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 8, 9 en 15 januari 2019 in Apeldoorn;8-1-2019
2;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 6, 13 en 20 februari 2019 in Rotterdam;6-2-2019
3;ArcGIS Desktop Basis;ArcGIS Desktop Basis dinsdag 5, 12 en 19 maart 2019 in Amsterdam;5-3-2019
4;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 6, 13 en 20 maart 2019 in Apeldoorn;6-3-2019
5;ArcGIS Desktop Basis;ArcGIS Desktop Basis: dinsdag 10, 17 en 24 april 2019 in Rotterdam;10-4-2019
6;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 9, 16 en 23 april 2019 in Eindhove;9-4-2019
7;ArcGIS Desktop Basis;ArcGIS Desktop Basis: dinsdag  7, 14, en 21 mei 2019  in Amsterdam;7-5-2019
8;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 8, 15 en 24 mei 2019 in Rotterdam;8-5-2019
9;ArcGIS Desktop Basis;ArcGIS Desktop Basis: dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
10;ArcGIS Desktop Basis;ArcGIS Desktop Basis: vrijdag 21, 26 en 28 juni 2019 in Rotterdam;21-6-2019
11;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 3, 10 en 17 juli 2019 in Apeldoorn;3-7-2019
12;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 7, 14 en 21 augustus 2019 in Rotterdam;7-8-2019
13;ArcGIS Desktop Basis;ArcGIS Desktop Basis: dinsdag 3, 10 en 17 september 2019 in Amsterdam;3-9-2019
14;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 4, 11 en 18 september 2019 in Apeldoorn;4-9-2019
15;ArcGIS Desktop Basis;ArcGIS Desktop Basis: dinsdag 8, 15 en 22 oktober 2019 in Eindhoven;8-10-2019
16;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 9, 16 en 23 oktober 2019 in Rotterdam;9-10-2019
17;ArcGIS Desktop Basis;ArcGIS Desktop Basis: dinsdag 5, 12 en 19 november 2019 in Amsterdam;5-11-2019
18;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 6, 13 en 20 november 2019 in Apeldoorn;6-11-2019
19;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 4, 11 en 18 december 2019 in Rotterdam;4-12-2019
20;ArcGIS Desktop Basis;ArcGIS Desktop Basis: woensdag 5, 12 en 19 december 2019 in Rotterdam;5-12-2019
21;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 8 januari 2019  in Apeldoorn;8-1-2019
22;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 5 februari 2019 in Rotterdam;5-2-2019
23;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 5 maart 2019 in Apeldoorn;5-3-2019
24;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 4 maart 2019 in Amsterdam;4-3-2019
25;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 2 april 2019 in Rotterdam;2-4-2019
26;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 1 april 2019 in Eindhoven;1-4-2019
27;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 7 mei 2019 in Apeldoorn;7-5-2019
28;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 6 mei 2019 in Amsterdam;6-5-2019
29;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 4 juni 2019 in Rotterdam;4-6-2019
30;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 3 juni 2019 in Eindhoven;3-6-2019
31;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 2 juli 2019 in Apeldoorn;2-7-2019
32;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 6 augustus 2019 in Rotterdam;6-8-2019
33;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 3 september 2019 in Apeldoorn;3-9-2019
34;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 2 september 2019 in Amsterdam;2-9-2019
35;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 1 oktober 2019  in Rotterdam;1-10-2019
36;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 30 september 2019 in Eindhoven;30-9-2019
37;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 5 november 2019  in Apeldoorn;5-11-2019
38;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: maandag 4 november 2019 in Amsterdam;4-11-2019
39;ArcGIS Pro voor ArcMAP gebruikers;ArcGIS Pro voor ArcMAP gebruikers: dinsdag 10 december 2019 in Rotterdam;10-12-2019
40;ArcGIS en Python;ArcGIS en Python: woensdag 9, 16 en 23 januari 2019 in Apeldoorn;9-1-2019
41;ArcGIS en Python;ArcGIS en Python: woensdag 6, 13 en 20 februari 2019 in Rotterdam;6-2-2019
42;ArcGIS en Python;ArcGIS en Python: dinsdag 5, 12 en 19 maart 2019 in Amsterdam;5-3-2019
43;ArcGIS en Python;ArcGIS en Python: woensdag 6, 13 en 20 maart 2019 in Apeldoorn;6-3-2019
44;ArcGIS en Python;ArcGIS en Python: dinsdag 10, 17 en 24 april 2019 in Rotterdam;10-4-2019
45;ArcGIS en Python;ArcGIS en Python: woensdag 9, 16 en 23 april 2019 in Eindhove;9-4-2019
46;ArcGIS en Python;ArcGIS en Python: dinsdag  7, 14, en 21 mei 2019  in Amsterdam;7-5-2019
47;ArcGIS en Python;ArcGIS en Python: woensdag 8, 15 en 24 mei 2019 in Apeldoorn;8-5-2019
48;ArcGIS en Python;ArcGIS en Python: dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
49;ArcGIS en Python;ArcGIS en Python: woensdag 5, 12 en 19 juni 2019 in Rotterdam;5-6-2019
50;ArcGIS en Python;ArcGIS en Python: woensdag 3, 10 en 17 juli 2019 in Apeldoorn;3-7-2019
51;ArcGIS en Python;ArcGIS en Python: woensdag 7, 14 en 21 augustus 2019 in Rotterdam;7-8-2019
52;ArcGIS en Python;ArcGIS en Python: dinsdag 3, 10 en 17 september 2019 in Amsterdam;3-9-2019
53;ArcGIS en Python;ArcGIS en Python: woensdag 4, 11 en 18 september 2019 in Apeldoorn;4-9-2019
54;ArcGIS en Python;ArcGIS en Python: dinsdag 8, 15 en 22 oktober 2019 in Eindhoven;8-10-2019
55;ArcGIS en Python;ArcGIS en Python: woensdag 9, 16 en 23 oktober 2019 in Rotterdam;9-10-2019
56;ArcGIS en Python;ArcGIS en Python: dinsdag 5, 12 en 19 november 2019 in Amsterdam;5-11-2019
57;ArcGIS en Python;ArcGIS en Python: woensdag 6, 13 en 20 november 2019 in Apeldoorn;6-11-2019
58;ArcGIS en Python;ArcGIS en Python: woensdag 4, 11 en 18 december 2019 in Rotterdam;4-12-2019
59;ATLAS Data Analysis;Atlas.ti: woensdag 9, 16 en 23 januari 2019 in Apeldoorn;9-1-2019
60;ATLAS Data Analysis;Atlas.ti: woensdag 6, 13 en 20 februari 2019 in Rotterdam;6-2-2019
61;ATLAS Data Analysis;Atlas.ti: dinsdag 5, 12 en 19 maart 2019 in Amsterdam;5-3-2019
62;ATLAS Data Analysis;Atlas.ti: woensdag 6, 13 en 20 maart 2019 in Apeldoorn;6-3-2019
63;ATLAS Data Analysis;Atlas.ti: dinsdag 10, 17 en 24 april 2019 in Rotterdam;10-4-2019
64;ATLAS Data Analysis;Atlas.ti: woensdag 9, 16 en 23 april 2019 in Eindhove;9-4-2019
65;ATLAS Data Analysis;Atlas.ti: dinsdag  7, 14, en 21 mei 2019  in Amsterdam;7-5-2019
66;ATLAS Data Analysis;Atlas.ti: woensdag 8, 15 en 24 mei 2019 in Apeldoorn;8-5-2019
67;ATLAS Data Analysis;Atlas.ti: dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
68;ATLAS Data Analysis;Atlas.ti: woensdag 5, 12 en 19 juni 2019 in Rotterdam;5-6-2019
